,ADDRESS,CAMIS,Latitude,Longitude
9801,57         4 AVENUE ,41468766,40.68248261,-73.97952778
9808,687        AMSTERDAM AVENUE ,41468950,40.79235464,-73.97152408
9822,8727 4 AVENUE,41469924,40.62138168,-74.02885745
9843,2775 CONEY ISLAND AVENUE,41470787,40.58885455,-73.96039789
9884,65 BAYARD STREET,41473028,40.71543101,-73.99809554
9917,216 SMITH STREET,41474862,40.68435474,-73.99215359
9965,226        UTICA AVENUE ,41476734,40.67107048,-73.9309785
10008,467 COLUMBUS AVENUE,41478517,40.78411826,-73.97381782
10061,1693 PUTNAM AVENUE,41480580,40.70023563,-73.90685456
10074,10 MURRAY STREET,41481622,40.71321614,-74.00771362
10105,122 WYCKOFF AVENUE,41484288,40.70355874,-73.9181376
10109,2861 WHITE PLAINS ROAD,41484642,40.86737336,-73.86736405
10116,23         WEST 32 STREET ,41485097,40.74747388,-73.98610683
10125,5401 4 AVENUE,41485393,40.64417813,-74.01486801
10189,666        WEST 204 STREET ,41488530,40.86720465,-73.92331121
10206,793 UTICA AVENUE,41489658,40.65385537,-73.93053689
10222,268 6 AVENUE,41490544,40.7293152,-74.00228564
10276,198 GRAND STREET,41494286,40.71920373,-73.99676435
10307,117        PERRY STREET ,41495911,40.73510116,-74.00668081
10331,1304 2 AVENUE,41497741,40.76656974,-73.95991095
10403,2322 86 STREET,41503209,40.60021667,-73.99111543
10410,99         STANTON STREET ,41503751,40.72127565,-73.98810193
10462,2223       86 STREET ,41506388,40.60156971,-73.9930875
10503,668 BAY STREET,41509875,40.62572402,-74.0752109
10564,481 BROOK AVENUE,41513509,40.81334003,-73.91595416
10598,360 PARK AVENUE SOUTH,41515513,40.74203244,-73.98510096
10613,3510  NOSTRAND AVENUE,41516427,40.59841536,-73.94157443
10672,100        MOTT STREET ,41521827,40.7172805,-73.99739372
10683,2233 BOSTON ROAD,41523349,40.85845251,-73.86797123
10707,2406 MERMAID AVENUE,41524912,40.57586051,-73.99121742
10718,2233 GRAND CONCOURSE,41525492,40.85653241,-73.90056526
10729,469 AVENUE OF THE AMERICAS,41526728,40.73555732,-73.99823503
10755,425 7 AVENUE,41529070,40.75037455,-73.99098727
10785,47 WILLOUGHBY AVENUE,41530574,40.6916829,-73.97124099
10813,255 KINGSTON AVENUE,41532006,40.67107673,-73.94196731
10914,610 EXTERIOR STREET,41538914,40.821999,-73.93062002
10959,645 MANHATTAN AVENUE,41541376,40.72420546,-73.95111811
11009,310 LENOX AVENUE,41543410,40.8081622,-73.94511716
11013,736 WEST 181 STREET,41543722,40.85062356,-73.93749452
11022,532 WEST 46 STREET,41543893,40.76251695,-73.99455378
11037,1082 MORRIS PARK AVENUE,41545050,40.84926151,-73.85353889
11059,99 PARK AVENUE,41546054,40.75079695,-73.9785571
11127,947 8 AVENUE,41548870,40.76605259,-73.98344408
11158,192 AVENUE U,41550400,40.59650205,-73.97704071
11184,2010       BARTOW AVENUE ,41552204,40.86905565,-73.83048646
11193,420 PARK AVENUE SOUTH,41552594,40.74388827,-73.98375098
